ທະວີບອາຟະລິກ	アフリカ
ວິກິພີເດຍ:ຂໍ້ປະຕິເສດຄວາມຮັບຜິດຊອບ	Wikipedia:免責事項
ໝວດ:Pages with broken file links	Category:壊れたファイルへのリンクがあるページ
ແມ່ແບບ:Navbox	Template:Navbox
ໝວດ:ພາສາໝາຍ	Category:マークアップ言語
ການບໍລິຫານ	経営学
ໝວດ:ການບຳລຸງຮັກສາວິກິພີເດຍ	Category:ウィキペディアのメンテナンス
ໝວດ:ຄອມພິວເຕີ	Category:コンピュータ
ແມ່ແບບ:!	Template:!
ໝວດ:ແມ່ແບບທຸງ	Category:旗のテンプレート
ແມ່ແບບ:!-	Template:!-
ແມ່ແບບ:Tnavbar	Template:Tnavbar
ແມ່ແບບ:Fontie	Template:Unicode
ແມ່ແບບ:Clear	Template:Clear
ແມ່ແບບ:Col-begin	Template:Col-begin
ແມ່ແບບ:Col-end	Template:Col-end
ໝວດ:ອາຟຣິກກາ	Category:アフリカ
ໝວດ:ປຶ້ມ	Category:書物
ແມ່ແບບ:ບາເບລ	Template:Babel
ແມ່ແບບ:Commons	Template:Commons
ແມ່ແບບ:Reflist	Template:Reflist
ວິກິພີເດຍ:ການອ້າງອີງແຫຼ່ງທີ່ມາ	Wikipedia:出典を明記する
ວິກິພີເດຍ:ຊອກຫາ	Help:検索
ແມ່ແບບ:Stub	Template:Stub
ແມ່ແບບ:User eo-1	Template:User eo-1
ແມ່ແບບ:User de	Template:User de
ແມ່ແບບ:User de-1	Template:User de-1
ແມ່ແບບ:User es	Template:User es
ແມ່ແບບ:User de-3	Template:User de-3
ແມ່ແບບ:User en-3	Template:User en-3
ແມ່ແບບ:User en-1	Template:User en-1
ແມ່ແບບ:User en-2	Template:User en-2
ແມ່ແບບ:User en-4	Template:User en-4
ແມ່ແບບ:User en	Template:User en
ແມ່ແບບ:User de-2	Template:User de-2
ແມ່ແບບ:User fr-1	Template:User fr-1
ແມ່ແບບ:User ja-4	Template:User ja-4
ແມ່ແບບ:User ja	Template:User ja
ແມ່ແບບ:User ja-1	Template:User ja-1
ແມ່ແບບ:User fr	Template:User fr
ໝວດ:ອາຊີ	Category:アジア
ແມ່ແບບ:Esoteric	Template:複雑なテンプレート
ໝວດ:ປະເທດມາເລເຊຍ	Category:マレーシア
ແມ່ແບບ:Lang-ja	Template:Lang-ja
ແມ່ແບບ:Mod	Template:Mod
ແມ່ແບບ:User es-2	Template:User es-2
ແມ່ແບບ:ຍິນດີຕ້ອນຮັບ	Template:Welcome
ແມ່ແບບ:Sisterprojects	Template:WikipediaSister
ໝວດ:ດວງຈັນ	Category:月
ແມ່ແບບ:USA	Template:USA
ແມ່ແບບ:Country data Thailand	Template:Country data Thailand
ແມ່ແບບ:Country data Indonesia	Template:Country data Indonesia
ແມ່ແບບ:Country data Cambodia	Template:Country data Cambodia
ໝວດ:ພາສາສາດ	Category:言語学
ແມ່ແບບ:ດັດແກ້	Template:Edit
ແມ່ແບບ:Wikiatlas	Template:Wikiatlas
ແມ່ແບບ:Click	Template:Click
ໝວດ:User fr-1	Category:User fr-1
ແມ່ແບບ:Country showdata	Template:Country showdata
ແມ່ແບບ:Image label	Template:Image label
ແມ່ແບບ:Country data Brunei	Template:Country data Brunei
ໝວດ:ແມວ	Category:ネコ
ໝວດ:ນາຊີ	Category:ナチ党
ແມ່ແບບ:Sidebar	Template:Sidebar
ແມ່ແບບ:Country data France	Template:Country data France
ແມ່ແບບ:ປັບປຸງການອ້າງອີງ	Template:未検証
ແມ່ແບບ:ກ່ອງຜູ້ໃຊ້ລຸ່ມ	Template:Boxboxbottom
ແມ່ແບບ:ຂໍ້ມູນປະເທດ	Template:基礎情報 国
ແມ່ແບບ:Country data Laos	Template:Country data Laos
ແມ່ແບບ:Px	Template:Px
ແມ່ແບບ:Documentation/docname	Template:Documentation/docname
ແມ່ແບບ:ກ່ອງຜູ້ໃຊ້ເທິງ	Template:Boxboxtop
ແມ່ແບບ:Infobox Political party	Template:政党
ແມ່ແບບ:ກ່ອງຂ້ໍມູນ ປະຊາຄົມອາຊຽນ	Template:Navbox with columns
ແມ່ແບບ:ກ່ອງຂໍ້ມູນ ນັກມວຢ	Template:Boxing statsbox
ແມ່ແບບ:Infobox ບໍລິສັດ	Template:Infobox Company
ແມ່ແບບ:Country data Vietnam	Template:Country data Vietnam
ແມ່ແບບ:ປ້າຍບົດຄວາມດີເດັ່ນ	Template:Featured article
ແມ່ແບບ:Infobox ຈັກກະພັດໂຣມັນ	Template:基礎情報 君主
ໝວດ:ປາລີ	Category:パリ
ໝວດ:User en	Category:User en
ໝວດ:User zh	Category:User zh
ໝວດ:User en-2	Category:User en-2
ແມ່ແບບ:Infobox	Template:Infobox
ແມ່ແບບ:User zh	Template:User zh
ໝວດ:ອັກສອນ	Category:アルファベット
ແມ່ແບບ:Navbox/core	Template:Navbox/core
ແມ່ແບບ:Template other	Template:Template other
ໝວດ:ພາສາ: ບິນ	Category:航空
ແມ່ແບບ:Country data	Template:Country data
ໝວດ:ອາຫານແລະເຄື່ອງດື່ມ	Category:飲食
ແມ່ແບບ:Pp-template	Template:Pp-template
ແມ່ແບບ:ວິກິວັດຈະນານຸກົມ	Template:Wiktionary
ແມ່ແບບ:Languageicon	Template:Languageicon
ແມ່ແບບ:User ru	Template:User ru
ໝວດ:ອະເມລິກາ	Category:アメリカ
ໝວດ:ເຂົ້າຈີ່	Category:パン
ແມ່ແບບ:ກັບສາງ	Template:Archive box
ວິກິພີເດຍ:ຂ້ອຄວາມຂວງ GNU Free Documentation License	Wikipedia:Text of GNU Free Documentation License
ແມ່ແບບ:Sisterlinks	Template:Sisterlinks
ແມ່ແບບ:Border	Template:Border
ແມ່ແບບ:Fmbox	Template:Fmbox
ໝວດ:ພາສາທະຫານ	Category:軍事
ແມ່ແບບ:Country data Philippines	Template:Country data Philippines
ແມ່ແບບ:Country data Malaysia	Template:Country data Malaysia
ແມ່ແບບ:Country data Myanmar	Template:Country data Myanmar
ແມ່ແບບ:Increase	Template:Increase
ແມ່ແບບ:Image label end	Template:Image label end
ແມ່ແບບ:Tlx	Template:Tlx
ແມ່ແບບ:CAN	Template:CAN
ແມ່ແບບ:Earth Labelled Map	Template:Earth Labelled Map
ໝວດ:ຄຳສັບ	Category:語彙
ແມ່ແບບ:Lang-my	Template:Lang-my
ໝວດ:ຄຳ	Category:語
ແມ່ແບບ:Country flag2	Template:Flag2
ແມ່ແບບ:ກ່ອງຜູ້ໃຊ້ຄັ່ນ	Template:Boxboxbreak
ໝວດ:ແຫຼ່ງນ້ຳ	Category:水域
ແມ່ແບບ:ຕ້ອງການອ້າງອີງ	Template:出典の明記
ໝວດ:ສະໜາມບິນໃນຫວຽດນາມ	Category:ベトナムの空港
ແມ່ແບບ:Image label small	Template:Image label small
ໝວດ:ພະມະຫາກະສັດອັງກິດ	Category:イングランドの君主
ແມ່ແບບ:Infobox Language/pronunciation	Template:Infobox Language/pronunciation
ໝວດ:ສານອາຫານ	Category:栄養素
ແມ່ແບບ:SUL Box	Template:User SUL
ໝວດ:ພາຫະນະການທະຫານ	Category:軍用車両
ໝວດ:ວິທະຍາສາດສຸຂະພາບ	Category:健康科学
ໝວດ:ໂທລະສັບມືຖື	Category:携帯電話端末
ໝວດ:ພາສາ: ເຮືອບິນທະຫານ	Category:軍用機
ແມ່ແບບ:Lang-en	Template:Lang-en
ໝວດ:ເນີຍແຂງ	Category:チーズ
ແມ່ແບບ:Lower	Template:Lower
ແມ່ແບບ:Politicsboxend	Template:Politicsboxend
ແມ່ແບບ:UK	Template:GBR
ໝວດ:ສະຖາປັດຕະຍະກຳ	Category:建築
ໝວດ:ລົດໄຟ	Category:鉄道
ແມ່ແບບ:Interwiki	Template:Wikipedia
ໝວດ:ໂພຊະນາການ	Category:栄養学
ແມ່ແບບ:ບໍ່ເປັນກາງ	Template:観点
ແມ່ແບບ:Dmoz	Template:Dmoz
ໝວດ:ເມືອງໃນແຂວງເກແບັກ	Category:ケベック州の都市
ໝວດ:User eo	Category:User eo
ໝວດ:User fr	Category:User fr
ໝວດ:User ja	Category:User ja
ໝວດ:User th	Category:User th
ໝວດ:User ja-2	Category:User ja-2
ໝວດ:User fr-N	Category:User fr-N
ໝວດ:ແມ່ນ້ຳອາມາຊົນ	Category:アマゾン川
ໝວດ:ແຂວງກວາງບິນ	Category:クアンビン省
ໝວດ:User en-3	Category:User en-3
ໝວດ:User en-N	Category:User en-N
ໝວດ:User eo-1	Category:User eo-1
ໝວດ:User es	Category:User es
ແມ່ແບບ:EU	Template:EU
ໝວດ:User es-2	Category:User es-2
ໝວດ:User es-3	Category:User es-3
ນິກາຍອັງກະລິກັງ	聖公会
ແມ່ແບບ:Country data United Kingdom	Template:Country data United Kingdom
ແມ່ແບບ:Cite encyclopedia	Template:Cite encyclopedia
ໝວດ:ສິລະປິນ	Category:美術家
ໝວດ:ເວັບໄຊຕ໌	Category:ウェブサイト
ໝວດ:User ko	Category:User ko
ໝວດ:User ko-1	Category:User ko-1
ແມ່ແບບ:ແປ	Template:翻訳中途
ໝວດ:ຫົວໜ່ວຍການປົກຄອງ	Category:行政区画
ໝວດ:ພາສາວັນນະຍຸດ	Category:声調言語
ໝວດ:ເມືອງໃນປະເທດຝະລັ່ງ	Category:フランスの都市
ແມ່ແບບ:Wikivoyage	Template:Wikivoyage-inline
ໝວດ:ວັນນະຄະດີເດັກນ້ອຍ	Category:児童文学
ແມ່ແບບ:ພາສາທາງການຂອງສະຫະປະຊາຊາດ	Template:国際連合公用語
ໝວດ:ອຸບປະກອນເຂົ້າອອກ	Category:入力機器
ແມ່ແບບ:ຮູບຫຼາຍແຈ	Template:多角形
ໝວດ:ທະເລ	Category:海
ໝວດ:ປະເທດອັງກິດ	Category:イングランド
ໝວດ:ນັກສະແດງແບ່ງຕາມສັນຊາດ	Category:各国の俳優
ໝວດ:ລະບົບສຸລິຍະ	Category:太陽系
ຊ່ວຍເຫຼືອ:ຫ້ອງສາງ	Help:過去ログ
ແມ່ແບບ:ຮູບແບບແຫ່ງລັດ	Template:統治体制
ໝວດ:ອຸດສາຫະກຳ	Category:工業
ໝວດ:ນ້ຳ	Category:水
ໝວດ:ສັດກິນຊີ້ນ	Category:食肉目
ໝວດ:ແຂວງ	Category:ラオスの県
ແມ່ແບບ:ແຂວງຂອງລາວ	Template:ラオスの地方行政区画
ໝວດ:ເຮລີກົບແຕ	Category:ヘリコプター
ໝວດ:ນາຍົກລັດຖະມົນຕີ	Category:首相
ໝວດ:ນັກຮ້ອງການາດາ	Category:カナダの歌手
ແມ່ແບບ:User cs	Template:User cs
ແມ່ແບບ:User es-3	Template:User es-3
ໝວດ:User ru	Category:User ru
ໝວດ:User ru-3	Category:User ru-3
ໝວດ:User th-3	Category:User th-3
ໝວດ:User th-N	Category:User th-N
ແມ່ແບບ:Lang	Template:Lang
ໝວດ:ສາຂາວິຊາວິທະຍາສາດ	Category:科学的専門分野
ໝວດ:ຊາວພະມ້າ	Category:ミャンマーの人物
ໝວດ:ມະນຸດ	Category:人間
ແມ່ແບບ:ບົດຄວາມຫຼັກ	Template:Main
ແມ່ແບບ:ໃຜກ່າວ	Template:誰
ໝວດ:ວົງເສືອແລະແມວ	Category:ネコ科
ໝວດ:ແມ່ນ້ຳແບ່ງຕາມປະເທດ	Category:各国の河川
ໝວດ:ສະກຸນເງິນ	Category:通貨
ແມ່ແບບ:Infobox Language/family-color	Template:Infobox Language/family-color
ໝວດ:ແມ່ນ້ຳ	Category:河川
ໝວດ:ແມ່ນ້ຳໃນປະເທດບະເລຊິນ	Category:ブラジルの河川
ໝວດ:ແມ່ນ້ຳໃນປະເທດເປລູ	Category:ペルーの河川
ໝວດ:ນັກຮ້ອງແບ່ງຕາມສັນຊາດ	Category:各国の歌手
ໝວດ:ນ້ຳມັນ	Category:油脂
ໝວດ:ນັກຮ້ອງໄທ	Category:タイの歌手
ໝວດ:User zh-1	Category:User zh-1
ໝວດ:User zh-3	Category:User zh-3
ໝວດ:ພະມະຫາກະສັດໄທ	Category:タイの君主
ໝວດ:ຊັບສິນທາງປັນຍາ	Category:知的財産権
ໝວດ:ນັກສະແດງຈີນ	Category:中国の俳優
ໝວດ:ນັກສະແດງໄທ	Category:タイの俳優
ໝວດ:ປະທານປະເທດລາວ	Category:ラオス人民民主共和国主席
ໝວດ:ຈັງຫວັດໃນປະເທດໄທ	Category:タイの県
ໝວດ:ຊາວໄທ	Category:タイの人物
ໝວດ:ນັກຮ້ອງຈີນ	Category:中国の歌手
ໝວດ:ນິກາຍໃນສາສະໜາຄິດ	Category:キリスト教の教派
ໝວດ:ມໍລະດົກໂລກແບ່ງຕາມປະເທດ	Category:各国の世界遺産
ໝວດ:ແມ່ນ້ຳໃນປະເທດໂກລົມບີ	Category:コロンビアの河川
ໝວດ:ນາຍົກລັດຖະມົນຕີແບ່ງຕາມປະເທດ	Category:各国の首相
ໝວດ:ປະເທດລາວ	Category:ラオス
ໝວດ:ແມ່ແບບການລຶບ	Category:削除関連のテンプレート
ວິກິພີເດຍ:ຕ້ອງການອ້າງອີງ	Wikipedia:「要出典」をクリックされた方へ
ໝວດ:ຜັກ	Category:野菜
ໝວດ:ໝາກໄມ້	Category:果物
ໝວດ:ພາສາໃນປະເທດລາວ	Category:ラオスの言語
ໝວດ:ພາສາຄອມພິວເຕີ	Category:コンピュータ言語
ໝວດ:ພາສາລາແຕັງ	Category:ラテン語
ໝວດ:ມໍລະດົກໂລກໃນປະເທດຝະລັ່ງ	Category:フランスの世界遺産
ໝວດ:ມະຫາສະໝຸດ	Category:大洋
ໝວດ:ມະນຸດສາດ	Category:人類学
ໝວດ:ລົດສະນິຍົມທາງເພດ	Category:性的指向
ໝວດ:ລະບົບປະຕິບັດການ	Category:オペレーティングシステム
ໝວດ:ລະດູ	Category:季節
ໝວດ:ແຮ່ທາດສາດ	Category:鉱物学
ໝວດ:ວິວັດທະນາການ	Category:進化
ໝວດ:ວິທີໃຊ້ວິກິພີເດຍ	Category:ウィキペディアの手引き書
ໝວດ:ສັດ	Category:動物
ໝວດ:ສັດທະສາດ	Category:音声学
ໝວດ:ສະເຕໂລອິດ	Category:ステロイド
ໝວດ:ອົງການລະຫວ່າງລັດຖະບານ	Category:国際機関
ພູສີ	プーシーの丘
ໝວດ:ປະໂລເຕອິນ	Category:タンパク質
ໝວດ:ອາຫານລາວ	Category:ラオスの食文化
ໝວດ:ເຄື່ອງໝາຍວັກ	Category:記号
ໝວດ:ເພງ	Category:歌
ໝວດ:ເພດສຶກສາ	Category:性教育
ໝວດ:ນະຄອນຫຼວງ	Category:首都
ໝວດ:ເມືອງໃນລາວ	Category:ラオスの都市
ໝວດ:ວຽງຈັນ	Category:ヴィエンチャン
ໝວດ:ເອດສ໌	Category:HIV/AIDS
ໝວດ:ອາຊີຕາເວັນອອກສຽງໃຕ້	Category:東南アジア
ໝວດ:ແຂວງຫຼວງພະບາງ	Category:ルアンパバーン県
ໝວດ:ໄດໂນເສົາ	Category:恐竜
ໝວດ:User th-4	Category:User th-4
ໝວດ:ກຸ່ມພາສາໂລມັງ	Category:ロマンス諸語
ໝວດ:ພາສາ: ການຂົນສົ່ງ	Category:交通
ໝວດ:ການຟ້ອນລຳ	Category:ダンス
ໝວດ:ກະລູຊິດ	Category:糖類
ໝວດ:ປະເພດຄຳເວົ້າ	Category:品詞
ໝວດ:ນັກເສດຖະສາດ	Category:経済学者
ແມ່ແບບ:Flagcountry	Template:Flagcountry
ແມ່ແບບ:ກ່ອງຂໍ້ມູນ ພາສາ	Template:Infobox Language
ໝວດ:ພືດທີ່ກິນໄດ້	Category:食用植物
ໝວດ:ກາເຟ	Category:コーヒー
ໝວດ:ພາສາອິຕາລີ	Category:イタリア語
ໝວດ:ພາສາແອສະປາໂຍນ	Category:スペイン語
ໝວດ:ພາສາໃນປະເທດໄທ	Category:タイの言語
ໝວດ:ແຊນ	Category:遺伝子
ໝວດ:ຍານພາຫະນະ	Category:輸送機器
ໝວດ:ລົດ	Category:自動車
ໝວດ:Tanks	Category:戦車
ແມ່ແບບ:ລາຍການຫ້ອງສາງ	Template:Archive list
ໝວດ:ພາສາໃນປະເທດຫວຽດນາມ	Category:ベトナムの言語
ໝວດ:ອາຫານຝະລັ່ງ	Category:フランスの食文化
ໝວດ:ເນີຍແຂງຝະລັ່ງ	Category:フランスのチーズ
ການບໍລິການ	サービス
ໝວດ:ສະໄໝກາງ	Category:中世ヨーロッパ
ແມ່ແບບ:Wikia	Template:Wikia
ໝວດ:ສຸຂະພາບ	Category:健康
ແມ່ແບບ:Country data Burma	Template:Country data Burma
ແມ່ແບບ:Country data Quebec	Template:Country data Quebec
ແມ່ແບບ:Country data Singapore	Template:Country data Singapore
ແມ່ແບບ:G8	Template:G8
ແມ່ແບບ:User wa	Template:User wa
ໝວດ:ເສດຖະສາດມະຫາພາກ	Category:マクロ経済学
ໝວດ:ຄຳກຳມະ	Category:動詞
ໝວດ:ພາສາ:ສາຍການບິນ	Category:旅客機
ໝວດ:ແຂວງເກແບັກ	Category:ケベック州
ໝວດ:ພາສາປືນໃຫຍ່	Category:砲兵
ໝວດ:ຂົວ	Category:橋
ໝວດ:ພາສາກາຕາລັງ	Category:カタルーニャ語
ສິດທິເດັກ	子どもの権利
ໝວດ:ເອແດມບວກ	Category:エディンバラ
ໝວດ:ຮາດແວ	Category:ハードウェア
ໝວດ:ພະລັງງານ	Category:エネルギー
ໝວດ:ລິກຂະສິດ	Category:著作権法
ໝວດ:ພາສາຝະລັ່ງ	Category:フランス語
ໝວດ:ວາຈົກ	Category:態
ແມ່ແບບ:Lts	Template:Lts
ໝວດ:ສຽງມະນຸດ	Category:音声
ໝວດ:ຫຼັກ້ຮົບ tanks	Category:主力戦車
ຊ່ວຍເຫຼືອ:ເຈ້ຍກ່າຍ	Help:早見表
ໝວດ:ເຮືອບິນຄູຝຶກທະຫານ	Category:練習機
ໝວດ:ຫຸ່ນຍົນສາດ	Category:ロボット工学
ໝວດ:ໂຣບົດ	Category:ロボット
ໝວດ:ພາສາລູມານີ	Category:ルーマニア語
ໝວດ:ພາສາອົກຊີຕັງ	Category:オック語
ໝວດ:ຕາກດີກະລາດາ	Category:緩歩動物
ໝວດ:ສັດມີແກນສັນຫຼັງ	Category:脊索動物
ໝວດ:ມົງເລອານ	Category:モントリオール
ໝວດ:ໂທລະສັບ	Category:電話
ໝວດ:ໜ່ວຍນັບເວລາ	Category:時間の単位
ໝວດ:ວິທະຍາສາດປະຍຸກ	Category:応用科学
ໝວດ:ທາດ	Category:信仰塔
ແມ່ແບບ:Image label begin	Template:Image label begin
ໝວດ:ພາສາກໍາລັງທາງອາກາດ	Category:空軍
ໝວດ:ໂຣບົດທະຫານ	Category:軍用ロボット
ແມ່ແບບ:Infobox Language/statesregion	Template:Infobox Language/statesregion
ແມ່ແບບ:Infobox Language/IPA notice	Template:Infobox Language/IPA notice
ໝວດ:User en-1	Category:User en-1
ໝວດ:ນັກສະແດງອາເມລິກັນ	Category:アメリカ合衆国の俳優
ໝວດ:ບົດຄວາມຕ້ອງຂະຫຍາຍ	Category:加筆依頼
ແມ່ແບບ:Infobox Language/official	Template:Infobox Language/official
ແມ່ແບບ:Infobox Language/quilt	Template:Infobox Language/quilt
ເສດຖະສາດກາງຫາວ	空間経済学
ແມ່ແບບ:ກ່ອງຂໍ້ມູນ ແຂວງໃນປະເທດໄທ	Template:Infobox Thai Province
ແມ່ແບບ:ແຂວງປະເທດລາວ	Template:基礎情報 ラオスの県
ແມ່ແບບ:QC	Template:QUE
ແມ່ແບບ:Infobox file format	Template:Infobox file format
ວິກິພີເດຍ:ຄຳຖາມມີເລື້ອຍ ກ່ຽວກັບ ການປະກອບສ່ວນ	Wikipedia:FAQ 投稿者向け
ວິກິພີເດຍ:ຄຳຖາມມີເລື້ອຍ ກ່ຽວກັບ ການດັດແປງ	Wikipedia:FAQ 編集
ແມ່ແບບ:ຂະຫຍາຍ	Template:加筆
ແມ່ແບບ:ກ່ອງຂໍ້ມູນ ອຳເພີ	Template:Infobox Amphoe
ວິກິພີເດຍ:ຄຳຖາມມີເລື້ອຍ ຂອງ ຜູ້ອ່ານ	Wikipedia:FAQ 読者向け
ແມ່ແບບ:Infobox Language/genetic2	Template:Infobox Language/genetic
ແມ່ແບບ:ເສດຖະສາດມະຫາພາກ	Template:マクロ経済学
ເຫດຍົນຕົກທີ່ປາກເຊ	ラオス国営航空301便墜落事故
ຮຳຊະ	ハムサ
ພິເສດ:ການດັດແກ້ຫຼ້າສຸດ	特別:最近の更新
Module:Coordinates	モジュール:Coordinates
ສາຍການບິນມາເລເຊຍທຽ່ວບິນMH370	マレーシア航空370便墜落事故
ອຸປະຕິເຫດເຮືອເຊໂວລຫລົ່ມ	2014年韓国フェリー転覆事故
